"Time [ms]","Steel_1008 [Wb]","Steel_1008_NoEddy [Wb]","SS430 [Wb]"
6.2,1.02344699553395,1.11072333326998,1.09240764266332
6.3,1.03753537917014,1.12673875945927,1.10790963157471
6.4,1.05156135228639,1.14269997738324,1.12335237338021
6.5,1.06552540211576,1.15860727587636,1.13873620502485
6.6,1.07942796548264,1.17446094241616,1.15406146368511
6.7,1.0932694407564,1.19026126463444,1.16932848693689
6.8,1.10705020153123,1.20600853086325,1.184537612963
6.90000000000001,1.12077060381624,1.22170303072895,1.1996891807304
7.00000000000001,1.13443099253267,1.2373450555639,1.21478353019231
7.10000000000001,1.14803171265597,1.25293489875411,1.22982100243648
7.20000000000001,1.16157311664175,1.26847285603732,1.2448019398684
7.30000000000001,1.17505556804359,1.28395922561589,1.2597266862203
7.40000000000001,1.18847944341368,1.29939430848224,1.27459558693689
7.50000000000001,1.20184513183273,1.31477840861097,1.28940898905804
7.60000000000001,1.2151530377764,1.33011183017553,1.30416724156318
7.70000000000001,1.2284035817605,1.3453948865934,1.318870692387
7.80000000000001,1.24159720342884,1.36062790694219,1.33351969732026
7.90000000000001,1.2547343627839,1.37581119528676,1.34811462619588
8.00000000000001,1.26781553657675,1.39094507189153,1.36265582248608
8.10000000000001,1.28084122437651,1.4060298622698,1.37714363906818
8.20000000000001,1.29381193714916,1.42106589607382,1.39157843001395
8.30000000000001,1.30672820732821,1.43605350722132,1.40596055172532
8.4,1.31959054469185,1.45099303405986,1.42029036227458
8.5,1.33239946828025,1.46588481946797,1.43456822281949
8.6,1.34515549315534,1.48072921095313,1.44879449803585
8.7,1.35785912788111,1.49552656084744,1.46296955620634
8.8,1.3705108742085,1.51027722637423,1.47709376935544
8.9,1.38311122792742,1.52498156893943,1.49116751336431
9,1.39566067874378,1.53963995801045,1.50519116731742
9.1,1.40815971015921,1.55425275673463,1.5191651175976
9.2,1.42060879875365,1.56882034430982,1.53308974634079
9.3,1.43300841263295,1.58334309644086,1.54696545122674
9.4,1.44535900943928,1.59782140270369,1.5607926256174
9.5,1.45766103866783,1.61225565446702,1.5745716757515
9.6,1.46991493914958,1.62664624893767,1.5883030087761
9.7,1.48212114707016,1.64099358946114,1.60198703687169
9.8,1.49428008918693,1.65529808613631,1.61562417737148
9.9,1.50639218121077,1.66956015610644,1.62921485306644
10,1.51845783999178,1.68378022315735,1.64275949240465
10.1,1.53047747416745,1.6979587123999,1.65625852906325
10.2,1.54245148969194,1.71209606854051,1.66971239682078
10.3,1.55438029327541,1.72619273802013,1.68312154740529
10.4,1.56626429481308,1.74024917475951,1.69648643292993
10.5,1.57810390871937,1.75426584102857,1.70980751156584
10.6,1.58989955587909,1.76824320699044,1.72308524832125
10.7,1.60165165836301,1.78218175139896,1.73632011460445
10.8,1.61336065908306,1.79608196867763,1.74951258891431
10.9,1.62502700507456,1.80994434803728,1.76266316397038
11,1.63665115461441,1.82376939508067,1.77577232539731
11.1,1.64823357879799,1.8375576284135,1.78884057358462
11.2,1.65977476044483,1.85130956791062,1.80186842075145
11.3,1.67127519430056,1.86502574941244,1.81485637838086
11.4,1.68273539439032,1.87870671516866,1.82780497274605
11.5,1.69415587042176,1.89235301944067,1.84071473430565
11.6,1.70553714905173,1.90596522912744,1.85358620398008
11.7,1.71687976878564,1.91954391798437,1.86641993152961
11.8,1.72818426962302,1.93308967339486,1.87921647726446
11.9,1.73945119796782,1.94660309228151,1.8919764081162
12,1.75068109966741,1.96008478693778,1.90470030155208
12.1,1.76187452268488,1.97353537928346,1.91738874391171
12.2,1.77303201376357,1.98695550413571,1.93004233421818
12.3,1.78415412009695,2.00034580914402,1.94266168059199
12.4,1.79524138740436,2.01370695503123,1.95524740218053
12.5,1.80629436147042,2.0270396160978,1.96780012851969
12.6,1.81731358632837,2.04034448057177,1.98032049051978
12.7,1.82829960855269,2.05362224051303,1.99280916169889
12.8,1.83925297318451,2.06687362372329,2.00526679662366
12.9,1.85017422575074,2.08009937408414,2.01769406225817
13,1.86106391214807,2.09330022866658,2.03009166957108
13.1,1.8719225792394,2.1064769516415,2.04246030118904
13.2,1.88275077577145,2.1196303243049,2.05480069442566
13.3,1.89354904246473,2.13276114502302,2.06711356941443
13.4,1.90431795796802,2.14587019818033,2.07939966091544
13.5,1.91505806196019,2.15895834991349,2.09165973807244
13.6,1.92576994642707,2.17202645351132,2.10389455944131
13.7,1.9364541778904,2.18507538237157,2.11610492317966
13.8,1.94711133039402,2.1981060297693,2.12829166031296
13.9,1.95774200987195,2.21111930208864,2.14045558448404
14,1.9683468311584,2.22411612218305,2.15259753735552
14.1,1.97892639324926,2.237097468538,2.1647183724093
14.2,1.98948128469335,2.25006431549649,2.17681895550311
14.3,2.000012151647,2.2630176549202,2.18890020493558
14.4,2.01051965428518,2.27595853996358,2.20096301035599
14.5,2.0210044259511,2.28888803527471,2.21300834160797
14.6,2.0314671195066,2.30180722995514,2.22503715968585
14.7,2.04190840062419,2.31471720902831,2.23705045687013
14.8,2.05232894594212,2.32761912632932,2.24904924296552
14.9,2.0627293880227,2.34051415683911,2.26103452391405
15,2.07311046378612,2.35340347172816,2.27300736760419
15.1,2.08347286207735,2.36628838860313,2.28496886112297
15.2,2.09381730737107,2.37917011949807,2.2969200846281
15.3,2.10414452949823,2.39205004394354,2.30886225186918
15.4,2.11445528739555,2.40492943196134,2.32079647675112
15.5,2.12475029578477,2.41780966560993,2.33272402837886
