"Time [ms]","STEEL_1008 [mA]","Steel_1008_NoEddy [mA]","SS430 [mA]"
18.6999999999999,486.048725514484,298.967600406166,368.186363042345
18.7999999999999,485.094021330943,294.411021432672,364.878526304597
18.8999999999999,484.060266247159,289.568303267121,361.360678658604
18.9999999999999,482.946465832687,284.429900478473,357.61593232765
19.0999999999999,481.746469782858,278.96175903975,353.636494209483
19.1999999999999,480.458208795897,273.146613516267,349.400369116566
19.2999999999999,479.080490573244,266.959225302182,344.900237921498
19.3999999999999,477.609571075275,260.365037337737,340.105475293378
19.4999999999999,476.041762557761,253.328055008714,335.001943695384
19.5999999999999,474.373521151174,245.812072227325,329.568227348456
19.6999999999999,472.60123396885,237.759590178465,323.774478931447
19.7999999999999,470.720324896532,229.118453657769,317.589038832012
19.8999999999999,468.728535907621,219.81867637904,310.984984202209
19.9999999999999,466.615835853606,209.772485839736,303.910043537701
20.0999999999999,464.381471201785,203.611703374421,296.322215605994
20.1999999999999,462.014623829794,204.617640317106,288.164875403429
20.2999999999999,459.511889037113,205.622423132084,279.363827561972
20.3999999999999,456.871190811835,206.626068398543,271.32284452108
20.4999999999999,454.068246612833,207.628583132376,272.732055978047
20.5999999999999,451.107137060938,208.629973311944,274.141587161492
20.6999999999999,447.967808643901,209.630245038344,275.551905764716
20.7999999999999,444.645719787953,210.629405429643,276.963049300808
20.8999999999999,441.114875075956,211.627462252494,278.375054714621
20.9999999999999,437.367873175405,212.624421760599,279.787958663671
21.0999999999999,433.36090893106,213.620291603284,281.201797127208
21.1999999999999,429.070933862182,214.615079500452,282.616606208047
21.2999999999999,424.452493800645,215.608793642752,284.032420963807
21.3999999999999,419.426411605903,216.601441011808,285.44927731838
21.4999999999999,413.903235932899,217.593028139405,286.867208934788
21.5999999999999,412.273117639988,218.583561632728,288.28624897736
21.6999999999999,412.324839514422,219.573048125986,289.706429999537
21.7999999999999,412.932641621031,220.561494276186,291.127783397247
21.8999999999999,413.816654519505,221.548907250838,292.550338787034
21.9999999999999,414.864369287805,222.535294137868,293.974114874197
22.0999999999999,416.015617935948,223.520661175097,295.399129775251
22.1999999999999,417.236357131088,224.505014885826,296.825406675108
22.2999999999999,418.504880210675,225.488362208047,298.252962140937
22.3999999999999,419.806740846066,226.47070994181,299.681814901622
22.4999999999999,421.131832927824,227.452065639581,301.111983342226
22.5999999999999,422.472964741933,228.432436565308,302.543486426885
22.6999999999999,423.824864900604,229.411829469583,303.976343300865
22.7999999999999,425.183515947049,230.390251359187,305.410574150326
22.8999999999999,426.545951692792,231.36771049678,306.846199057894
22.9999999999999,427.90989430945,232.34421621013,308.283238767178
23.0999999999999,429.27354252545,233.319778542293,309.721714065932
23.1999999999999,430.635482932986,234.294408902627,311.161645894402
23.2999999999999,431.994604036027,235.268122193937,312.603055342552
23.3999999999999,433.349997523743,236.240938969696,314.045963695089
23.4999999999999,434.700921429681,237.212884993267,315.490391494598
23.5999999999999,436.046743177874,238.183994419983,316.936359360841
23.6999999999999,437.386942417671,239.154310703574,318.383887435074
23.7999999999999,438.7211088471,240.123872050337,319.832995670153
23.8999999999999,440.048883618996,241.092703609026,321.283703954107
23.9999999999999,441.369974585686,242.060826203483,322.736032771703
24.0999999999999,442.68414475646,243.02826206742,324.190001925799
24.1999999999999,443.991216380777,243.995039554148,325.645629397142
24.2999999999999,445.291079790184,244.961186711063,327.102932702581
24.3999999999999,446.583652620642,245.926726941865,328.561933672273
24.4999999999999,447.868904395237,246.891681775073,330.022650715022
24.5999999999999,449.146839834593,247.856072054663,331.485100155018
24.6999999999999,450.417464474091,248.819917399559,332.949297594901
24.7999999999999,451.680810097559,249.783237427753,334.415258333972
24.8999999999999,452.936938973181,250.746053244288,335.88299691296
24.9999999999999,454.185920709166,251.708388414454,337.352527311968
25.0999999999999,455.427830504525,252.670272072056,338.823862960392
25.1999999999999,456.662758721806,253.631746902846,340.297016935534
25.2999999999999,457.890794734576,254.592877044655,341.772001997222
25.3999999999999,459.112032690433,255.553749179534,343.248829850978
25.4999999999999,460.326576621275,256.514432168256,344.72751206814
25.5999999999999,461.534534001312,257.474979316506,346.208060135633
25.6999999999999,462.735997932694,258.435436358948,347.690483492622
25.7999999999999,463.93104970621,259.395843997782,349.174791348157
25.8999999999999,465.119756266128,260.356236829894,350.660993656132
25.9999999999999,466.302197328664,261.316646274553,352.149098463711
26.0999999999999,467.478462614398,262.277101167025,353.639112543202
26.1999999999999,468.64864866074,263.237626894949,355.131042495983
26.2999999999999,469.812866658622,264.198246403426,356.624895196957
26.3999999999999,470.971251735121,265.158980996807,358.120678403394
26.4999999999999,472.123955997722,266.119850227677,359.618397922245
26.5999999999999,473.271148877403,267.080871792859,361.118058495693
26.6999999999999,474.413014799808,268.04206415465,362.619664625713
26.7999999999999,475.549748941492,269.003446593393,364.12322105694
26.8999999999999,476.681554504104,269.965031742193,365.628731432748
26.9999999999999,477.808638428092,270.926830003381,367.136198344078
27.0999999999999,478.931196997745,271.888849289636,368.645624477592
27.1999999999999,480.049419379819,272.851099233459,370.157010422681
27.2999999999999,481.163483576853,273.813586473924,371.670356385988
27.3999999999999,482.273551065428,274.776314650492,373.185662031495
27.4999999999999,483.37976021519,275.73928518732,374.702927409863
27.5999999999999,484.482230371364,276.702498436894,376.22215223477
27.6999999999999,485.58106160686,277.665953479433,377.743334196038
27.7999999999999,486.67634136111,278.629648490336,379.266470612576
27.8999999999999,487.768140599781,279.59358008056,380.791558665623
27.9999999999999,488.85651566718,280.557745621746,382.31859449594
28.0999999999999,489.941515782281,281.522141483152,383.84757420946
28.1999999999999,491.023175792963,282.486764195238,385.378493376159
28.2999999999999,492.101519084968,283.451609680334,386.911347266266
28.3999999999999,493.176555319948,284.416673279401,388.446129789287
28.4999999999999,494.248282479057,285.381950904124,389.982834690168
28.5999999999999,495.316682888397,286.34743831321,391.521455454743
28.6999999999999,496.381722694809,287.313131064166,393.061984525668
28.7999999999999,497.443357152456,288.279028141613,394.604414060309
28.8999999999999,498.501532593989,289.245152498471,396.148737122941
28.9999999999999,499.556191954233,290.21155071039,397.694944082209
29.0999999999999,500.607276022827,291.178252519307,399.243025559666
29.1999999999999,501.654724728638,292.145281465517,400.792970781872
29.2999999999999,502.698480700156,293.112656429059,402.344768634548
29.3999999999999,503.738493755839,294.080393763675,403.89840872551
29.4999999999999,504.774722086293,295.048507277733,405.453882389019
29.5999999999999,505.807124494081,296.017008212487,407.011176110701
29.6999999999999,506.835661324031,296.985906426778,408.570276129143
29.7999999999999,507.86029382761,297.955210911787,410.131169009004
29.8999999999999,508.88098440089,298.924931573824,411.693841130368
29.9999999999999,509.897694642693,299.895078009931,413.25827750909
30.0999999999999,510.910384507905,300.865661070745,414.824464302075
30.1999999999999,511.919013931896,301.836694714496,416.392386072899
30.2999999999999,512.923545077953,302.808198624681,417.962027689227
30.3999999999999,513.923944066505,303.780199521179,419.533373522931
30.4999999999999,514.920186889696,304.752734820218,421.106408404744
30.5999999999999,515.912260125099,305.725848452764,422.681114221915
30.6999999999999,516.900164750917,306.699571168606,424.257471273392
30.7999999999999,517.883914635952,307.673926910255,425.835460974417
30.8999999999999,518.863534367599,308.648934906351,427.41506880026
30.9999999999999,519.839059425902,309.624609222872,428.996275939643
31.0999999999999,520.810532837271,310.600962327897,430.5790613046
31.1999999999999,521.77800355385,311.578003605748,432.163406843803
31.2999999999999,522.741524034202,312.555744956893,433.749292741632
31.3999999999999,523.701148972082,313.534206425915,435.336700735784
31.4999999999999,524.656932754455,314.513405300943,436.925608985688
31.5999999999999,525.608931367704,315.493355234952,438.515997503735
31.6999999999999,526.557199574834,316.474067314796,440.107844011941
31.7999999999999,527.50179188327,317.455549816554,441.701128765188
31.8999999999999,528.442759510048,318.43781137022,443.295834740556
31.9999999999999,529.380151567121,319.42085796883,444.891943003863
32.0999999999999,530.314013246215,320.40469604215,446.489433927726
32.1999999999999,531.24438630549,321.389330110276,448.08828819841
32.2999999999999,532.171312113481,322.374765133286,449.688488066749
32.3999999999999,533.094831869889,323.361007302456,451.29002110177
32.4999999999999,534.014987323412,324.348065533787,452.892878431688
32.5999999999999,534.931821160984,325.335951082665,454.497054017243
32.6999999999999,535.845379120635,326.324683159922,456.102551555561
32.7999999999999,536.755711074945,327.314298413493,457.709397390825
32.8999999999999,537.662871725742,328.304879784575,459.317633190863
32.9999999999999,538.566920938811,329.296529534322,460.927328088855
33.0999999999999,539.467923607232,330.289311755487,462.538586833801
33.1999999999999,540.365949880296,331.283278866753,464.151549587163
33.2999999999999,541.261074432918,332.278474805905,465.766328038644
33.3999999999999,542.153377008784,333.274936418762,467.382991884018
33.4999999999999,543.042939800254,334.272694927492,469.001597223051
33.5999999999999,543.929846557093,335.271778659274,470.622185295419
33.6999999999999,544.814180482311,336.272213094242,472.244787083485
33.7999999999999,545.696025651783,337.274020572291,473.869427885707
33.8999999999999,546.575461038657,338.277222674635,475.496128126968
33.9999999999999,547.45256256951,339.281840656087,477.124907285813
34.0999999999999,548.327400543953,340.287896444012,478.755791117771
34.2,549.200038319144,341.295417815659,480.388825253285
34.3,550.070532556403,342.304439534051,482.024060418119
34.4,550.938931980212,343.315009224068,483.661530053752
34.5,551.80527747136,344.327190149342,485.301257261858
34.6,552.669602635506,345.341069926838,486.943257862594
34.7,553.531931618536,346.356752359748,488.587538757557
34.8,554.392281119854,347.374333777295,490.234102557998
34.9,555.250659413215,348.393911380739,491.882946322648
35,556.107065404476,349.415582710872,493.534064026881
35.1,556.961490934028,350.439445635749,495.187444715589
35.2,557.813919445091,351.465598132666,496.843074951281
35.3,558.664324349178,352.494137608508,498.500939908085
35.4,559.5126720912,353.52516819916,500.161040576485
35.5,560.358923852069,354.558798770858,501.823355038396
35.6,561.203037586131,355.595145944488,503.487865397763
35.7,562.044968237256,356.634333642516,505.154556603014
35.8,562.884669847662,357.676483950498,506.823415225611
35.9,563.722098306247,358.721720021275,508.494424697255
36,564.557212057308,359.770162082936,510.167567530979
36.1,565.38997132851,360.821930521743,511.842820867827
36.2,566.220337891345,361.877144912875,513.52016216452
36.3,567.048275193466,362.935928451246,515.19956625698
36.4,567.873749361517,363.998402028656,516.881009346021
36.5,568.696728564112,365.064685704881,518.564467389162
36.6,569.517183428613,366.1348953205,520.249919658068
36.7,570.33508723822,367.209140988551,521.937345028596
36.8,571.150416833481,368.287531960763,523.626724906931
36.9,571.96315220053,369.370153969415,525.318064827011
37,572.7732761636,370.457062769433,527.011510224917
37.1,573.5807749715,371.548254576024,528.70753904732
37.2,574.385638883207,372.643644230589,530.406408259457
37.3,575.187862364273,373.74307827572,532.108259695739
37.4,575.987444876679,374.846508276007,533.813192180786
37.5,576.784391800217,375.954015188886,535.521274457797
37.6000000000001,577.578712134621,377.065754357343,537.232557037508
37.7000000000001,578.370420563573,378.181865445398,538.947069274791
37.8000000000001,579.159537077663,379.302500217634,540.664831840975
37.9000000000001,579.946086313724,380.427828032247,542.385848873455
38.0000000000001,580.73009687203,381.55803280949,544.110121187546
38.1000000000001,581.511599701252,382.693314480782,545.837635867705
38.2000000000001,582.290625428701,383.833884311264,547.568374525709
38.3000000000001,583.067205310529,384.979987005708,549.302309446138
38.4000000000001,583.841370470756,386.131855689744,551.03940809054
38.5000000000001,584.613151708811,387.289680824277,552.779633597328
38.6000000000001,585.382578851925,388.453629031462,554.522943454461
38.7000000000001,586.149680356513,389.623885052081,556.26929081476
38.8000000000001,586.914483282582,390.800641229127,558.018623594888
38.9000000000001,587.677012776067,391.984097094176,559.770887629019
39.0000000000001,588.437292299064,393.174451586309,561.526025584333
39.1000000000001,589.195343281692,394.371911053359,563.283979183431
39.2000000000001,589.951184883368,395.5766830221,565.044690024696
39.3000000000001,590.704836837349,396.78897308982,566.808093949937
39.4000000000001,591.456318957611,398.008988692542,568.574125803717
39.5000000000001,592.205651912605,399.2369419357,570.34272160454
39.6000000000001,592.952857667286,400.473041348342,572.113818157868
39.7000000000001,593.697959529958,401.717493105149,573.887354717448
39.8000000000001,594.440982952279,402.970501831942,575.663262310124
39.9000000000001,595.181956462018,404.232266703559,577.441471160117
40,595.920911968522,405.502980996164,579.221909398328
