time_s,position_mm,velocity_m_s,current_A,force_N,restoring_force_N,back_emf_V,flux_linkage_Wb
0.0091,0.04657208186030219,0.02319485917141151,0.1827485667468257,56.63484280927075,5.069858122790453,14.037876951710276,1.649108654005705
0.0092,0.04897750941858746,0.024054275582852846,0.18440251614659917,57.80153133730848,5.073466264127881,14.9315346647355,1.665465913893345
0.009300000000000001,0.05147081708532807,0.024933076667405865,0.1860437962995943,58.98099384651323,5.077206225627992,15.627804482298963,1.681741377138508
0.0094,0.05405396439810345,0.025831473127753947,0.18767571253703025,60.17988708935324,5.081080946597155,16.030713431958976,1.698333720941649
0.0095,0.05672894305445009,0.026749786563466542,0.1892976728102292,61.38839801948991,5.085093414581675,16.458191067339367,1.714630031683496
0.009600000000000001,0.05949776055180495,0.027688174973548356,0.1909083024474773,62.60884245189047,5.0892466408277075,17.033535096382963,1.730904885094639
0.0097,0.06236244404217821,0.02864683490373273,0.19250101875420034,63.83174694601077,5.093543666063267,18.202198755020916,1.74699438849275
0.0098,0.06532502453801804,0.029625804958398515,0.1940738709584157,65.08087861611658,5.097987536807027,19.557510363511447,1.763304877259868
0.0099,0.0683875765189901,0.030625519809720354,0.19563144883375758,66.33795008503785,5.1025813647784855,20.47590070379157,1.779487656753262
0.01,0.07155218744782922,0.03164610928839134,0.1971755677563401,67.60577153939668,5.1073282811717435,21.23786144103418,1.795586009380062
0.010100000000000001,0.07482096244876543,0.03268775000936176,0.1987044355724779,68.88855242936316,5.112231443673148,22.16706405873293,1.811878980890699
0.0102,0.07819603131801107,0.03375068869245659,0.20023400781438289,70.19400094535071,5.117294046977016,21.63356565912956,1.828023320285914
0.0103,0.08167956136542066,0.03483530047409615,0.20174576040623501,71.50804517535691,5.122519342048131,22.795419347194578,1.844203857554971
0.010400000000000001,0.08527373395588583,0.03594172590465131,0.20324520800203233,72.82933704050129,5.127910600933829,23.451367430394857,1.860114992084698
0.0105,0.08898074225708355,0.03707008301197743,0.20472227239250848,74.17238334131567,5.1334711133856255,25.04303012506734,1.876253434066984
0.0106,0.09280281541199449,0.03822073154910959,0.20617149770357768,75.50811012955768,5.139204223117992,27.112326646412534,1.892017512527675
0.010700000000000001,0.09674217007674957,0.039393546647550265,0.20759650540633218,76.8673892004951,5.145113255115124,28.874284459612255,1.907851838040081
0.0108,0.1008010618680802,0.04058891791330659,0.2090044485794803,78.25545410248803,5.151201592802121,29.976523487056422,1.923963619135034
0.0109,0.10498179408026032,0.04180732212180135,0.2104045305530039,79.65077949438773,5.1574726911203905,30.219262245665103,1.939987097776328
0.011000000000000001,0.10928668180377928,0.04304887723518915,0.21178585626707871,81.07238600366586,5.163930022705669,31.46736489907403,1.955921885661251
0.0111,0.11371808362059976,0.04431401816820515,0.2131397362738603,82.49186886215188,5.170577125430899,33.51845746212544,1.971732675120883
0.0112,0.11827835425698145,0.04560270636381716,0.2144822068513861,83.92396716699034,5.177417531385472,34.104865647845216,1.987636766226021
0.011300000000000001,0.1229698691427559,0.04691514885774392,0.21580819487575262,85.37191887411905,5.184454803714134,35.15413332194094,2.003392546288097
0.0114,0.12779502980198093,0.04825160659225066,0.21711399646714802,86.84493811162902,5.191692544702971,36.55536424216209,2.01914630340305
0.0115,0.1327562792038175,0.049612494018366086,0.2184002542292157,88.34191239573781,5.199134418805726,37.89918848996427,2.034951218615342
0.011600000000000001,0.13785609990228237,0.050998206984648305,0.21966107421793005,89.83390705488894,5.206784149853424,39.78707394552069,2.050655966659111
0.0117,0.1430969658055889,0.052408659033065554,0.22089160794323123,91.34368010624121,5.214645448708383,42.13222789139488,2.066246182225231
0.0118,0.14848138009999132,0.053844142944024426,0.22208747470643103,92.88901317448892,5.222722070149987,44.893309097552674,2.082043732473475
0.0119,0.15401190487956773,0.05530524779576342,0.2232784601971448,94.44976947087834,5.231017857319352,44.879915717886746,2.097814898387431
0.012,0.15969112757849996,0.05679222698932273,0.22444050900454168,96.02293115012318,5.23953669136775,47.11186583200853,2.11360625535538
0.012100000000000001,0.16552165593486357,0.05830528356363534,0.22559457340304942,97.61964944341183,5.248282483902296,47.392948822723994,2.129246738457826
0.0122,0.1715061365694929,0.05984480634629382,0.2267213562265223,99.25306609021179,5.25725920485424,49.490488043755576,2.144932947340137
0.0123,0.1776472768822645,0.06141140312771644,0.22782269042559966,100.8767443502259,5.266470915323397,51.42035534269905,2.160524249540771
0.012400000000000001,0.18394776765076107,0.06300490768496483,0.2288725830078178,102.4225191187167,5.275921651476142,55.80342787982624,2.177023009045978
0.0125,0.19041016941503625,0.06462401764275216,0.22998514798947903,104.2481194427539,5.285615254122554,49.411084339664,2.192367863268191
0.0126,0.19703750868629247,0.06627339271256268,0.23103248681750482,105.9889135470783,5.295556263029439,55.13625875363958,2.207960491926237
0.012700000000000001,0.2038326702196889,0.0679516153339635,0.23201036630831567,107.6860707841488,5.305749005329534,61.265770298896456,2.22310956841169
0.0128,0.21079846562271656,0.06965795403027715,0.2329244211697484,109.3382848523325,5.316197698434075,66.89940897707079,2.239470175798027
0.0129,0.21793763117100073,0.07139165548284211,0.23389354547134286,111.1924307533609,5.326906446756501,61.1989634418463,2.254549177889345
0.013000000000000001,0.22525323925979604,0.07315608088795221,0.23477941335782399,112.9266613190983,5.3378798588896945,68.72742792057085,2.269985780147143
0.0131,0.23274816198435822,0.07494922724562235,0.23564643043561675,114.6934820167112,5.349122242976537,70.11316265912536,2.285481007050147
0.0132,0.2404253253085433,0.07677163324185125,0.2365043328254458,116.5342224961652,5.360637987962815,70.57227051076369,2.300989458021281
0.013300000000000001,0.24828777794024218,0.07862452631698798,0.23729264968852268,118.3746726409544,5.372431666910363,76.85521945207623,2.316585924181962
0.0134,0.256338567640231,0.0805078969998887,0.2380529776435872,120.2371062795509,5.384507851460347,79.15499965124712,2.332014538084665
0.0135,0.26458077833759996,0.08242210697369019,0.23879980691183328,122.1278266079501,5.3968711675064,80.07311041310902,2.347499511029669
0.013600000000000001,0.2730175406273698,0.08436762289769761,0.23950415071132009,124.0914455341633,5.409526310941055,83.81475371561604,2.3631365461287
0.0137,0.2816521061158449,0.08634565488475131,0.2401914271337147,125.9861180101484,5.422478159173767,85.10023472686107,2.378305012386947
0.013800000000000002,0.2904876110040718,0.08835504888226757,0.24079619115859036,127.9645105422193,5.4357314165061075,92.81147129032856,2.393799110837619
0.013900000000000001,0.2995273305241747,0.09039719520102944,0.24138959267487745,129.909162005709,5.449290995786262,93.58430595954157,2.409221186807508
0.014,0.30877448316262746,0.09247152638452814,0.2419554638581128,132.0885426036139,5.463161724743941,95.96190022214049,2.424450638298872
0.014100000000000001,0.3182326781025452,0.094581949399176,0.24252824498630055,134.2923355605348,5.477349017153818,94.95767801604589,2.439870149802855
0.0142,0.3279055646867017,0.09672886584156566,0.24299245282704823,136.3702313791606,5.491858347030052,105.41057382713052,2.455293868559791
0.0143,0.3377965818925784,0.09891017205876783,0.24342454404127092,138.504716517848,5.506694872838867,108.32847434567421,2.470612200210021
0.014400000000000001,0.34790926246786363,0.10112680575285134,0.2438297655203506,140.6920269441638,5.521863893701796,110.75156461581149,2.486213164169131
0.0145,0.35824722664823283,0.10337964180369236,0.24416050214130477,142.8601954298916,5.53737083997235,117.98210847970931,2.501600656533032
0.0146,0.3688140622029185,0.10566835554685766,0.2445041359183013,145.1128219319397,5.553221093304378,116.46228541862216,2.516790686539108
0.014700000000000001,0.37961349709233544,0.10799434889416827,0.24472919595886738,147.375322492243,5.569420245638503,128.26965766804358,2.532164778034107
0.0148,0.3906492751521632,0.11035778059827833,0.24495133939946778,149.6931253704246,5.585973912728245,128.41034785849865,2.547549220872839
0.0149,0.4019252317977538,0.1127595664559066,0.2451035461167054,152.0142560708106,5.602887847696631,135.41939676254358,2.562798067073444
0.015000000000000001,0.4134452073903831,0.11519975592629186,0.2452196795869495,154.3834419277957,5.620167811085574,139.02382146149924,2.577927962865188
0.0151,0.42521312177320675,0.11767914382823702,0.2453087998663914,156.8523449167601,5.63781968265981,141.73460014133087,2.593403426147799
0.0152,0.4372330603647539,0.12019938591547201,0.24527680716948402,159.3094821308665,5.655849590547131,154.26615129280077,2.608743174894329
0.015300000000000001,0.44950908834386843,0.12276027979114403,0.24525837335330733,161.742249469016,5.674263632515803,152.87309759661653,2.623646932418005
0.0154,0.4620452296327103,0.125361412888419,0.24511895887949614,164.4007705712207,5.693067844449065,165.61262287845003,2.638662856644483
0.0155,0.47484588375943004,0.12800654126719851,0.24494767318124178,167.0651375423419,5.712268825639145,169.1000294649787,2.654616927058507
0.015600000000000001,0.4879154593340112,0.13069575574581027,0.24488818257442174,169.9372705394378,5.731873189001017,157.345342898617,2.670839832476256
0.015700000000000002,0.5012587105708431,0.13343251236831757,0.24466277840910353,172.7533969659014,5.7518880658562646,175.16774953359672,2.68610815902776
0.0158,0.5148802976558415,0.136215870849985,0.2442837006446144,175.5408468177639,5.7723204464837625,191.92808738952797,2.701713282644376
0.0159,0.5287848322847921,0.1390453462895063,0.2438884786162021,178.3414900193667,5.793177248427188,194.04114565041752,2.716884923046391
0.016,0.5429769474350276,0.14192115150235526,0.24339883183475583,181.2174791821294,5.8144654211525415,204.732274989072,2.732320521912905
0.0161,0.5574614009415313,0.1448445350650382,0.24287882707559383,184.1692730730176,5.836192101412297,208.56152100603086,2.74764109106974
0.0162,0.5722430762496543,0.1478167530812316,0.24221293577321643,187.114355181297,5.858364614374482,225.26094766912266,2.762460060330751
0.016300000000000002,0.5873268448753894,0.15083768625734706,0.24146372200783603,190.3502634159933,5.880990267313084,235.2733507571708,2.777822907387711
0.0164,0.6027180622897051,0.1539121741431584,0.24075621602020758,193.5233337798292,5.904077093434558,231.41224200249465,2.793706155479672
0.0165,0.6184219784651649,0.15703916175459828,0.2399765843422707,196.8860963178898,5.927632967697747,240.397057869623,2.809549997715336
0.0166,0.6344441587462083,0.1602218028104348,0.23916471636441106,200.4591928307147,5.951666238119312,244.99136216565452,2.826109346877872
0.0167,0.6507905182382393,0.16346359492031137,0.23820264199280353,203.8860039131068,5.976185777357359,263.32237064674683,2.841931759238041
0.016800000000000002,0.6674667274271638,0.16676209188924063,0.23709990737524841,207.3389166911788,6.0012000911407455,280.92559430584413,2.857754870633326
0.016900000000000002,0.6844784994770878,0.17011772049924123,0.23600352729864912,210.9998694094176,6.026717749215631,281.641255914189,2.873805090379242
0.017,0.7018318934464455,0.17353393969357792,0.23477944388895305,214.6115659674213,6.052747840169668,298.28870372577916,2.889534863128394
0.0171,0.7195328854460152,0.17700991999569876,0.23348014472813505,218.3920009930373,6.079299328169023,309.0325210093082,2.905482593155017
0.0172,0.7375877319483598,0.18054846502344654,0.23205098372155758,222.2494202044918,6.10638159792254,326.6779557674962,2.921115272479289
0.0173,0.756002816848382,0.18415084900022266,0.23049908475579264,226.2195345010617,6.134004225272573,343.90450351586543,2.936603540194761
0.017400000000000002,0.7747847109655311,0.18781894117148593,0.22889110269943205,230.1277916228536,6.162177066448296,353.3353511696124,2.953789109400045
0.0175,0.7939398811069402,0.19155170141409267,0.22715668720244656,234.7158398416491,6.19090982166041,371.9486942444676,2.970104381154936
0.0176,0.813475926131716,0.1953604502477591,0.22539836598430715,239.2951741273041,6.220213889197574,378.0376786771308,2.987043362297344
0.0177,0.8334004294235553,0.19924503291839418,0.22340222583138136,244.1282799593762,6.250100644135333,411.83557933463135,3.003084755769565
0.0178,0.8537213963475867,0.20320966924031483,0.2213439019544975,248.9328011647413,6.28058209452138,423.8113702741179,3.019732973470562
0.0179,0.8744467836367351,0.20725387289148514,0.21906793880804368,253.0804842344859,6.311670175455102,456.7582394134497,3.035305343238588
0.018000000000000002,0.8955834522826494,0.21136668645913578,0.21665273034074697,258.6699553643824,6.343375178423974,480.3106161313789,3.05022198417154
0.0181,0.9171406652288727,0.21557212946223506,0.2141380744158742,263.6287798245446,6.375710997843309,499.2530752327463,3.066965847842921
0.0182,0.9391266332898073,0.2198596806093467,0.2116770869231305,269.4777006549116,6.408689949934711,497.876028440276,3.085199241819015
0.0183,0.9615510497019167,0.2242441641210963,0.20901702284818796,275.2796128855097,6.442326574552875,531.9860425896003,3.102474562679798
0.0184,0.9844235282578778,0.2287247855596122,0.20596182807272473,280.9489278888847,6.476635292386817,595.4889997154866,3.118488481022762
0.018500000000000003,1.007753460634834,0.23329932376955398,0.20285658870698053,287.4017728147096,6.511630190952251,611.6136929241137,3.13472936794397
0.018600000000000002,1.0315515432494955,0.2379808261466166,0.19959585658909298,293.2742575946285,6.547327314874243,644.0462707864359,3.152314632173345
0.0187,1.05582750408129,0.2427596083179458,0.19631316206297794,300.7615165543177,6.583741256121935,657.9772752583874,3.171040032145692
0.0188,1.080593761205248,0.24766257123958235,0.19273418431555875,308.0259105437933,6.620890641807872,715.0158501263426,3.188908113651626
0.0189,1.09,0.0,0.18905167852023047,304.0522403734125,6.635,744.6142880222966,3.159334078654644
0.019,1.09,0.0,0.19006500980846833,307.1809290221881,6.635,0.0,3.175552956856265
0.019100000000000002,1.09,0.0,0.19107791515980643,310.3216704089505,6.635,0.0,3.191751570473784
0.019200000000000002,1.09,0.0,0.19209040203109073,313.4744055669607,6.635,0.0,3.207929928028204
0.0193,1.09,0.0,0.1931024778726222,316.6390755999938,6.635,0.0,3.224088037883594
0.0194,1.09,0.0,0.1941141502037831,319.815621692988,6.635,0.0,3.24022590825558
0.0195,1.09,0.0,0.1951254265630605,323.0039851067901,6.635,0.0,3.256343547208172
0.0196,1.09,0.0,0.1961363145679398,326.2041071828514,6.635,0.0,3.272440962646017
0.019700000000000002,1.09,0.0,0.19714682189499855,329.4159293523073,6.635,0.0,3.288518162335783
0.0198,1.09,0.0,0.19815695613854536,332.6393930913336,6.635,0.0,3.304575153890372
0.0199,1.09,0.0,0.19916672481986214,335.8744399571734,6.635,0.0,3.320611944768485
0.02,1.09,0.0,0.20017613539897816,339.1210115714071,6.635,0.0,3.336628542273211
